,index,INGRESOS_TOTAL_E,Tipo_de_Operadores
0,4,26.54725844253371,Grande
1,36,24.80590037410733,Grande
2,6,24.74492825152067,Grande
3,98,23.936991781635964,Grande
4,60,23.929128227458115,Grande
5,102,23.849329934660506,Grande
6,7,22.891431994766545,Grande
7,62,22.3639515644559,Grande
8,3,21.76516940592935,Grande
9,84,20.970796652024102,Mediano
10,68,20.407380936754656,Mediano
11,56,20.363029650447096,Mediano
12,103,20.251016760570145,Mediano
13,26,20.157074709821366,Mediano
14,43,20.037058465112484,Mediano
15,42,19.85197294491358,Mediano
16,107,19.615527678913338,Mediano
17,111,19.37098874138176,Mediano
18,10,19.18188829205257,Mediano
19,24,19.11320253554739,Mediano
20,33,18.95721111378245,Mediano
21,64,18.940296025686923,Mediano
22,114,18.931609753493863,Mediano
23,44,18.839675998414474,Mediano
24,112,18.802969305494408,Mediano
25,30,18.537938521684953,Mediano
26,22,18.40104513743544,Mediano
27,78,18.295096906252066,Mediano
28,28,18.268410116052756,Mediano
29,48,18.24271372191518,Mediano
30,41,18.23952603013229,Mediano
31,70,18.231363393558375,Mediano
32,96,17.874445188891713,Pequeño1
33,71,17.85650317032628,Pequeño1
34,99,17.85650317032628,Pequeño1
35,110,17.819383479565595,Pequeño1
36,77,17.586948546174074,Pequeño1
37,115,17.58404660375702,Pequeño1
38,20,17.536204569161555,Pequeño1
39,72,17.533598440324596,Pequeño1
40,53,17.49869154008347,Pequeño1
41,88,17.43859713549902,Pequeño1
42,113,17.32545665913338,Pequeño1
43,8,17.24938220641824,Pequeño1
44,75,17.239157785761915,Pequeño1
45,16,17.06328059146507,Pequeño1
46,32,16.98351405245872,Pequeño1
47,14,16.948900351148335,Pequeño1
48,57,16.9458784772933,Pequeño1
49,101,16.94001507558934,Pequeño1
50,65,16.92525951135275,Pequeño1
51,95,16.859004657605475,Pequeño1
52,97,16.839616076895982,Pequeño1
53,108,16.491780060239893,Pequeño1
54,85,16.477492740694007,Pequeño1
55,93,16.452822394377947,Pequeño1
56,2,16.405326707217586,Pequeño1
57,66,16.398760710407988,Pequeño1
58,59,16.394375439237688,Pequeño1
59,17,16.375007075680337,Pequeño1
60,39,16.374548999562784,Pequeño1
61,13,16.335650689986725,Pequeño1
62,79,16.32880916525572,Pequeño1
63,61,16.27224067648388,Pequeño1
64,54,16.22246177617381,Pequeño1
65,67,16.178774804934907,Pequeño1
66,104,15.946092712438919,Pequeño1
67,29,15.921012313227152,Pequeño1
68,89,15.894247632815611,Pequeño1
69,90,15.8804176417927,Pequeño1
70,11,15.803520740728297,Pequeño1
71,82,15.692401368855865,Pequeño1
72,106,15.611242637582906,Pequeño1
73,0,15.52659507802959,Pequeño2
74,92,15.515437753787413,Pequeño2
75,40,15.408370613935078,Pequeño2
76,27,15.383497692818812,Pequeño2
77,63,15.375099395781113,Pequeño2
78,94,15.28705981811918,Pequeño2
79,31,15.266214369392454,Pequeño2
80,81,15.202679054416528,Pequeño2
81,49,15.009450602039832,Pequeño2
82,109,14.973980429251414,Pequeño2
83,83,14.865237177902536,Pequeño2
84,80,14.858200916266865,Pequeño2
85,37,14.834426218788536,Pequeño2
86,5,14.829832491575294,Pequeño2
87,1,14.818552109886047,Pequeño2
88,76,14.81530912425071,Pequeño2
89,46,14.770282498856686,Pequeño2
90,34,14.770282498856686,Pequeño2
91,87,14.715914467919381,Pequeño2
92,86,14.676704349700717,Pequeño2
93,74,14.676159429919622,Pequeño2
94,58,14.658380442175979,Pequeño2
95,19,14.64330007632057,Pequeño2
96,51,14.63944123413557,Pequeño2
97,25,14.62731547596188,Pequeño2
98,55,14.603767898325877,Pequeño2
99,73,14.57847370783986,Pequeño2
100,38,14.383856600371901,Pequeño2
101,52,14.243003345514849,Pequeño2
102,15,14.231540270267304,Pequeño2
103,21,14.16995461532498,Pequeño2
104,105,13.905872150044306,Pequeño2
105,69,13.813641562479818,Pequeño2
106,91,13.250751878001546,Pequeño2
107,47,13.116628967056183,Pequeño2
108,50,13.069812450423061,Pequeño2
109,12,13.069812450423061,Pequeño2
110,45,12.957597407554216,Pequeño2
111,35,12.73959669970437,Pequeño2
112,100,12.713097786601942,Pequeño2
113,9,12.67790316749073,Pequeño2
114,23,11.130199843831553,Pequeño2
115,18,10.675747162040656,Pequeño2
